Cement (component 1)(kg in a m^3 mixture),Cementitious_Ratio (by mass),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Blast_Furnace_Slag_Ratio (by mass),Fly Ash (component 3)(kg in a m^3 mixture),fly_ash_ratio (of total weight),"Fly_Ash_Ratio (of total cementitious materials, by mass)",Water  (component 4)(kg in a m^3 mixture),Water_ratio (total by weight),Water-to-Cementitious_Ratio,Superplasticizer (component 5)(kg in a m^3 mixture),Superplasticizer_Ratio (by mass),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Coarse_Aggregate_Ratio (by mass),Fine Aggregate (component 7)(kg in a m^3 mixture),Sand_Ratio (by mass),Age (day),Total Mass of 1 m^3,"Concrete compressive strength(MPa, megapascals) "
540.0 ,0.2231 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,162.0 ,0.0669 ,0.3000 ,2.5 ,0.0010 ,1040.0 ,0.4297 ,676.0 ,0.2793 ,28 ,2420.5,79.99 
540.0 ,0.2217 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,162.0 ,0.0665 ,0.3000 ,2.5 ,0.0010 ,1055.0 ,0.4332 ,676.0 ,0.2776 ,28 ,2435.5,61.89 
332.5 ,0.1492 ,142.5 ,0.0639 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6857 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,270 ,2229.0,40.27 
332.5 ,0.1492 ,142.5 ,0.0639 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6857 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,365 ,2229.0,41.05 
198.6 ,0.0853 ,132.4 ,0.0569 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0825 ,0.9668 ,0.0 ,0.0000 ,978.4 ,0.4205 ,825.5 ,0.3548 ,360 ,2326.9,44.30 
266.0 ,0.1204 ,114.0 ,0.0516 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.8571 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,90 ,2210.0,47.03 
380.0 ,0.1705 ,95.0 ,0.0426 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,365 ,2229.0,43.70 
380.0 ,0.1705 ,95.0 ,0.0426 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,28 ,2229.0,36.45 
266.0 ,0.1204 ,114.0 ,0.0516 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.8571 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,28 ,2210.0,45.85 
475.0 ,0.2131 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.4800 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,28 ,2229.0,39.29 
198.6 ,0.0853 ,132.4 ,0.0569 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0825 ,0.9668 ,0.0 ,0.0000 ,978.4 ,0.4205 ,825.5 ,0.3548 ,90 ,2326.9,38.07 
198.6 ,0.0853 ,132.4 ,0.0569 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0825 ,0.9668 ,0.0 ,0.0000 ,978.4 ,0.4205 ,825.5 ,0.3548 ,28 ,2326.9,28.02 
427.5 ,0.1918 ,47.5 ,0.0213 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.5333 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,270 ,2229.0,43.01 
190.0 ,0.0860 ,190.0 ,0.0860 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,1.2000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,90 ,2210.0,42.33 
304.0 ,0.1376 ,76.0 ,0.0344 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.7500 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,28 ,2210.0,47.81 
380.0 ,0.1719 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,90 ,2210.0,52.91 
139.6 ,0.0583 ,209.4 ,0.0874 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0802 ,1.3754 ,0.0 ,0.0000 ,1047.0 ,0.4372 ,806.9 ,0.3369 ,90 ,2394.9,39.36 
342.0 ,0.1548 ,38.0 ,0.0172 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6667 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,365 ,2210.0,56.14 
380.0 ,0.1705 ,95.0 ,0.0426 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,90 ,2229.0,40.56 
475.0 ,0.2131 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.4800 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,180 ,2229.0,42.62 
427.5 ,0.1918 ,47.5 ,0.0213 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.5333 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,180 ,2229.0,41.84 
139.6 ,0.0583 ,209.4 ,0.0874 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0802 ,1.3754 ,0.0 ,0.0000 ,1047.0 ,0.4372 ,806.9 ,0.3369 ,28 ,2394.9,28.24 
139.6 ,0.0583 ,209.4 ,0.0874 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0802 ,1.3754 ,0.0 ,0.0000 ,1047.0 ,0.4372 ,806.9 ,0.3369 ,3 ,2394.9,8.06 
139.6 ,0.0583 ,209.4 ,0.0874 ,0.0 ,0.0000 ,0.0000 ,192.0 ,0.0802 ,1.3754 ,0.0 ,0.0000 ,1047.0 ,0.4372 ,806.9 ,0.3369 ,180 ,2394.9,44.21 
380.0 ,0.1719 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,365 ,2210.0,52.52 
380.0 ,0.1719 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1032 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4217 ,670.0 ,0.3032 ,270 ,2210.0,53.30 
380.0 ,0.1705 ,95.0 ,0.0426 ,0.0 ,0.0000 ,0.0000 ,228.0 ,0.1023 ,0.6000 ,0.0 ,0.0000 ,932.0 ,0.4181 ,594.0 ,0.2665 ,270 ,2229.0,41.15 
